Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
chennai,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,13.0801721,80.2838331
yelagiri,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,12.5443005,78.5864925
kanchipuram,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,12.836393,79.7053304
cuddalore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,11.74269375,79.7503064417193
courtalam,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar,8.9094725,77.3373717
kanyakumari,0,0,1,0,0,0,0,0,0,0,0,0,Mar,Mar,8.079252,77.5499338
masinagudi,1,1,1,1,1,0,0,0,0,0,0,1,Dec,May,11.5682904,76.6389659
coonoor,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,11.3467442,76.7975583
kotagiri,1,1,1,1,1,0,0,0,0,0,0,1,Dec,May,18.5729602,77.8236852
kodaikanal,0,0,0,1,1,0,0,0,0,0,0,0,Apr,May,10.2351172,77.4938314
coimbatore,0,0,1,0,0,0,0,0,1,0,0,0,Sept,Mar,11.0018115,76.9628425
rameshwaram,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,9.2844657,79.3125553
mayiladuthurai,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,11.1018614,79.6503162
madurai,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,9.9261153,78.1140983
karur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,10.9604046,78.077561
salem,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,44.9391565,-123.033121
palani,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,46.603354,1.8883335
thiruvanru,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
teni,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,12.9424119,-4.0876168
chidambaram,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,11.3994826,79.6909383
pollachi,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,10.6587809,77.0084257
tiruchirappalli,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,10.8304999,78.6978575
thanjavur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,10.77666385,79.1412372860112
tenkasi,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar,8.9560365,77.3058163
thoothukkudi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
dharmapuri,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,12.1347988,78.1589864
yercaud,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,11.7852074,78.2075392
krishnagiri,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,12.5188835,78.2206536
darbhanga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.1569653,85.8995119
patna,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec,25.6093239,85.1235252
bodh gaya,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.6962612,84.9937642
siwan,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.166667,84.5
buxar,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,25.51231115,84.0998815542797
nalanda,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.1364914,85.4436546485568
silvassa,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,20.2736768,73.0045787
aizawl,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,23.7414092,92.7209297
dimapur,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,25.9135522,93.7284143
kohima,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,25.6618755,94.1019156
tirupati,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,13.6316368,79.4231711
dindi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,16.5375372,78.6880784
cuddapah,1,1,1,0,0,0,0,0,0,0,0,1,Dec,Mar,14.416667,78.75
kakinada,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,16.9437385,82.2350607
guntur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,16.2915189,80.4541588
vijayawada,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,16.5087586,80.6185102
visakhapatnam,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,17.7231276,83.3012842
kurnool,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,15.6006792,77.896243
adoni,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,39.913451,9.185837
rajahmundry,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.0050454,81.7804732
nellore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,14.4493717,79.9873763
ongole,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,15.5058714,80.0499454
srisailamgudem devasthanam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,Null,Null
puttaparthi,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,14.1636778,77.8124982
wayanad,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,11.7100632,76.1189762479078
changanassery,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,9.4432225,76.5411822
chengannur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,9.3182106,76.6142393
ernakulam,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,9.9870993,76.3431013545535
munnar,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,10.0867239,77.060982
thalassery,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,11.7490639,75.4931578
kozhikode,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,11.2446144,75.7759372
guruvayoor,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,10.5950431,76.0417924
varkala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,8.7352627,76.7080221
thiruvalla,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,9.3867448,76.5762652
kovalam,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,8.4004698,76.9788156
poovar,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,8.3166853,77.0702441
kannur,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar,11.8762254,75.3738043
kottayam,1,1,0,0,0,0,0,0,1,1,1,1,Sept,Feb,9.5916046,76.5221304
thiruvananthapuram,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,8.5058909,76.9570481
